model,num_second_level_models,table_size,train_workload,test_workload,model_size,build_time,test_workload_time,num_last_mile_search
linear_model,100,NA,NA,workloads/books_200M_uint64_workload200000k_alpha1.1,112,4.95915,70.4689,199960356
weighted_linear_model,100,NA,workloads/books_200M_uint64_workload200000k_alpha1.1,workloads/books_200M_uint64_workload200000k_alpha1.1,112,9.6377,47.1545,177492095
linear_model,1000,NA,NA,workloads/books_200M_uint64_workload200000k_alpha1.1,112,4.59747,52.4294,199706647
weighted_linear_model,1000,NA,workloads/books_200M_uint64_workload200000k_alpha1.1,workloads/books_200M_uint64_workload200000k_alpha1.1,112,9.35544,38.6487,149012686
linear_model,10000,NA,NA,workloads/books_200M_uint64_workload200000k_alpha1.1,112,4.60352,39.4383,193240246
weighted_linear_model,10000,NA,workloads/books_200M_uint64_workload200000k_alpha1.1,workloads/books_200M_uint64_workload200000k_alpha1.1,112,9.08973,31.7921,122577994
linear_model,100000,NA,NA,workloads/books_200M_uint64_workload200000k_alpha1.1,112,4.38416,32.0538,196954371
weighted_linear_model,100000,NA,workloads/books_200M_uint64_workload200000k_alpha1.1,workloads/books_200M_uint64_workload200000k_alpha1.1,112,8.95416,29.2113,114419872
linear_model,1000000,NA,NA,workloads/books_200M_uint64_workload200000k_alpha1.1,112,4.61553,26.5505,188653669
weighted_linear_model,1000000,NA,workloads/books_200M_uint64_workload200000k_alpha1.1,workloads/books_200M_uint64_workload200000k_alpha1.1,112,8.95446,29.2195,115220310
linear_model,100,NA,NA,workloads/books_200M_uint64_workload200000k_alpha1.5,112,4.75873,24.3878,199999673
weighted_linear_model,100,NA,workloads/books_200M_uint64_workload200000k_alpha1.5,workloads/books_200M_uint64_workload200000k_alpha1.5,112,9.66017,19.1321,96185210
linear_model,1000,NA,NA,workloads/books_200M_uint64_workload200000k_alpha1.5,112,4.75604,16.1496,199855643
weighted_linear_model,1000,NA,workloads/books_200M_uint64_workload200000k_alpha1.5,workloads/books_200M_uint64_workload200000k_alpha1.5,112,9.48734,15.0334,51478983
linear_model,10000,NA,NA,workloads/books_200M_uint64_workload200000k_alpha1.5,112,5.5185,14.1642,188786568
weighted_linear_model,10000,NA,workloads/books_200M_uint64_workload200000k_alpha1.5,workloads/books_200M_uint64_workload200000k_alpha1.5,112,9.19182,12.186,31149199
linear_model,100000,NA,NA,workloads/books_200M_uint64_workload200000k_alpha1.5,112,4.52585,12.3351,198695586
weighted_linear_model,100000,NA,workloads/books_200M_uint64_workload200000k_alpha1.5,workloads/books_200M_uint64_workload200000k_alpha1.5,112,9.01921,11.5611,26869695
linear_model,1000000,NA,NA,workloads/books_200M_uint64_workload200000k_alpha1.5,112,4.66087,10.1736,189071388
weighted_linear_model,1000000,NA,workloads/books_200M_uint64_workload200000k_alpha1.5,workloads/books_200M_uint64_workload200000k_alpha1.5,112,8.9415,10.738,28764419
linear_model,100,NA,NA,workloads/books_200M_uint64_workload200000k_alpha1.9,112,4.76797,11.8136,199999999
weighted_linear_model,100,NA,workloads/books_200M_uint64_workload200000k_alpha1.9,workloads/books_200M_uint64_workload200000k_alpha1.9,112,9.50619,12.688,77494515
linear_model,1000,NA,NA,workloads/books_200M_uint64_workload200000k_alpha1.9,112,4.69125,10.7037,199960143
weighted_linear_model,1000,NA,workloads/books_200M_uint64_workload200000k_alpha1.9,workloads/books_200M_uint64_workload200000k_alpha1.9,112,9.41696,8.27902,22161246
linear_model,10000,NA,NA,workloads/books_200M_uint64_workload200000k_alpha1.9,112,4.72126,9.52158,191064254
weighted_linear_model,10000,NA,workloads/books_200M_uint64_workload200000k_alpha1.9,workloads/books_200M_uint64_workload200000k_alpha1.9,112,9.11744,8.25072,10008349
linear_model,100000,NA,NA,workloads/books_200M_uint64_workload200000k_alpha1.9,112,4.52633,9.17995,199609238
weighted_linear_model,100000,NA,workloads/books_200M_uint64_workload200000k_alpha1.9,workloads/books_200M_uint64_workload200000k_alpha1.9,112,9.07716,7.8333,5821736
linear_model,1000000,NA,NA,workloads/books_200M_uint64_workload200000k_alpha1.9,112,4.63131,8.0944,192930191
weighted_linear_model,1000000,NA,workloads/books_200M_uint64_workload200000k_alpha1.9,workloads/books_200M_uint64_workload200000k_alpha1.9,112,8.78006,8.33502,6223771
