model,num_second_level_models,table_size,train_workload,test_workload,model_size,build_time,test_workload_time
linear_model,10,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,104,28.118,114.069
weighted_linear_model,10,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,104,28.4671,127.776
look_up_table_linear_model,10,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,168,125.991,126.505
look_up_table_linear_model,10,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,168,120.347,126.041
look_up_table_linear_model,10,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,168,117.344,126.332
linear_model,50,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,104,38.8167,110.083
weighted_linear_model,50,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,104,37.6388,121.93
look_up_table_linear_model,50,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,168,131.409,123.254
look_up_table_linear_model,50,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,168,125.989,122.015
look_up_table_linear_model,50,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,168,127.731,122.811
linear_model,100,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,104,51.5752,106.664
weighted_linear_model,100,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,104,52.4749,118.83
look_up_table_linear_model,100,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,168,138.485,124.378
