model,num_second_level_models,table_size,train_workload,test_workload,model_size,build_time,test_workload_time,num_last_mile_search
linear_model,10,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,112,25.0967,113.841,200000000
weighted_linear_model,10,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,112,34.6918,126.768,177735446
look_up_table_linear_model,10,100,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,176,123.887,116.329,104755236
look_up_table_linear_model,10,200,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,176,122.157,112.333,95388743
look_up_table_linear_model,10,300,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,176,122.41,110.527,90191076
linear_model,50,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,112,35.578,114.788,200000000
weighted_linear_model,50,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,112,44.073,127.743,177735446
look_up_table_linear_model,50,100,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,176,137.785,116.427,104755236
look_up_table_linear_model,50,200,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,176,135.718,112.13,95388743
look_up_table_linear_model,50,300,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,176,136.502,110.802,90191076
linear_model,100,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,112,50.5568,114.147,200000000
weighted_linear_model,100,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,112,59.6632,126.575,177735446
look_up_table_linear_model,100,100,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,176,151.215,116.221,104755236
look_up_table_linear_model,100,200,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,176,151.862,112.954,95388743
look_up_table_linear_model,100,300,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,176,158.361,110.83,90191076
linear_model,500,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,112,165.576,110.019,200000000
weighted_linear_model,500,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,112,178.776,124.545,177735446
look_up_table_linear_model,500,100,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,176,263.094,112.071,104755236
look_up_table_linear_model,500,200,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,176,271.051,112.783,95388743
look_up_table_linear_model,500,300,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.1,176,272.358,111.515,90191076
